Time (UTC), Channel2
05/22/21 13:55:45, 
05/22/21 13:56:10, 
05/22/21 13:56:15, 
05/22/21 13:56:35, 40.6
05/22/21 13:56:40, 40.6
05/22/21 13:56:45, 
05/22/21 13:57:10, 
05/22/21 13:57:15, 
05/22/21 13:57:35, 41.4
05/22/21 13:57:40, 41.4
05/22/21 13:57:45, 
05/22/21 13:58:10, 
05/22/21 13:58:15, 
05/22/21 13:58:35, 42.2
05/22/21 13:58:40, 42.2
05/22/21 13:58:45, 
05/22/21 13:59:10, 
05/22/21 13:59:15, 
05/22/21 13:59:35, 43.1
05/22/21 13:59:40, 43.1
05/22/21 13:59:45, 
05/22/21 14:00:10, 
05/22/21 14:00:15, 
05/22/21 14:00:35, 44.1
05/22/21 14:00:40, 44.1
05/22/21 14:00:45, 
05/22/21 14:01:10, 
05/22/21 14:01:15, 
05/22/21 14:01:35, 45.1
05/22/21 14:01:40, 45.1
05/22/21 14:01:45, 
05/22/21 14:02:10, 
05/22/21 14:02:15, 
05/22/21 14:02:35, 46.0
05/22/21 14:02:40, 46.0
05/22/21 14:02:45, 
05/22/21 14:03:10, 
05/22/21 14:03:15, 
05/22/21 14:03:35, 47.1
05/22/21 14:03:40, 47.1
05/22/21 14:03:45, 
05/22/21 14:04:10, 
05/22/21 14:04:15, 
05/22/21 14:04:35, 48.2
05/22/21 14:04:40, 48.2
05/22/21 14:04:45, 
05/22/21 14:05:10, 
05/22/21 14:05:15, 
05/22/21 14:05:35, 49.4
05/22/21 14:05:40, 49.4
05/22/21 14:05:45, 
05/22/21 14:06:10, 
05/22/21 14:06:15, 
05/22/21 14:06:35, 50.5
05/22/21 14:06:40, 50.5
05/22/21 14:06:45, 
05/22/21 14:07:10, 
05/22/21 14:07:15, 
05/22/21 14:07:35, 51.8
05/22/21 14:07:40, 51.8
05/22/21 14:07:45, 
05/22/21 14:08:10, 
05/22/21 14:08:15, 
05/22/21 14:08:35, 52.9
05/22/21 14:08:40, 52.9
05/22/21 14:08:45, 
05/22/21 14:09:10, 
05/22/21 14:09:15, 
05/22/21 14:09:35, 54.2
05/22/21 14:09:40, 54.2
05/22/21 14:09:45, 
05/22/21 14:10:10, 
05/22/21 14:10:15, 
05/22/21 14:10:35, 55.6
05/22/21 14:10:40, 55.6
05/22/21 14:10:45, 
05/22/21 14:11:10, 
05/22/21 14:11:15, 
05/22/21 14:11:35, 56.8
05/22/21 14:11:40, 56.8
05/22/21 14:11:45, 
05/22/21 14:12:10, 
05/22/21 14:12:15, 
05/22/21 14:12:35, 58.2
05/22/21 14:12:40, 58.2
05/22/21 14:12:45, 
05/22/21 14:13:10, 
05/22/21 14:13:15, 
05/22/21 14:13:35, 59.4
05/22/21 14:13:40, 59.4
05/22/21 14:13:45, 
05/22/21 14:14:10, 
05/22/21 14:14:15, 
05/22/21 14:14:35, 60.7
05/22/21 14:14:40, 60.7
05/22/21 14:14:45, 
05/22/21 14:15:10, 
05/22/21 14:15:15, 
05/22/21 14:15:35, 62.1
05/22/21 14:15:40, 62.1
05/22/21 14:15:45, 
05/22/21 14:16:10, 
05/22/21 14:16:15, 
05/22/21 14:16:35, 63.3
05/22/21 14:16:40, 63.3
05/22/21 14:16:45, 
05/22/21 14:17:10, 
05/22/21 14:17:15, 
05/22/21 14:17:35, 64.5
05/22/21 14:17:40, 64.5
05/22/21 14:17:45, 
05/22/21 14:18:10, 
05/22/21 14:18:15, 
05/22/21 14:18:35, 65.6
05/22/21 14:18:40, 65.6
05/22/21 14:18:45, 
05/22/21 14:19:10, 
05/22/21 14:19:15, 
05/22/21 14:19:35, 66.9
05/22/21 14:19:40, 66.9
05/22/21 14:19:45, 
05/22/21 14:20:10, 
05/22/21 14:20:15, 
05/22/21 14:20:35, 68.1
05/22/21 14:20:40, 68.1
05/22/21 14:20:45, 
05/22/21 14:21:10, 
05/22/21 14:21:15, 
05/22/21 14:21:35, 69.2
